Instruction,IT,Rd,Rn,Rm,Rt,Rl,Immu,Imms
PUSH,PUSH, 0, 0, 0, 0, 0b0100000010000000, 0, 0
ADDSpImm,ADDSpImm, 7, 0, 0, 0, 0b0000000000000000, 0, 0
SUBSP,SUBSP, 13, 0, 0, 0, 0b0000000000000000, 4, 0
MOVImm,MOVImm, 0, 0, 0, 0, 0b0000000000000000, 10, 0
STRImm,STRImm, 0, 0, 0, 3, 0b0000000000000000, 0, 0
MOVImm,MOVImm, 0, 0, 0, 0, 0b0000000000000000, 3, 0
STRImm,STRImm, 0, 0, 0, 2, 0b0000000000000000, 0, 0
LDRImm,LDRImm, 0, 0, 0, 3, 0b0000000000000000, 0, 0
LDRImm,LDRImm, 0, 0, 0, 2, 0b0000000000000000, 4, 0
BL,BL, 0, 0, 0, 0, 0b0000000000000000, 0, 18
